id,title,author,license,source_page,target_uses
tiny-texture-pack-2,Tiny Texture Pack 2 (128x128 production set),Screaming Brain Studios,CC0 1.0 / Public Domain,https://opengameart.org/content/tiny-texture-pack-2,wall_crypt_blocks_a.png; wall_crypt_blocks_b.png; floor_flagstone_a.png; ceiling_stone.png
old-school-dungeon-crawler-pack,Old School Dungeon Crawler Pack,Screaming Brain Studios,CC0 1.0 / Public Domain,https://opengameart.org/content/old-school-dungeon-crawler-pack,door_iron.png; archway_stone.png
ps1-fire,PS1 Fire,Limphands,CC0 / Public Domain,https://limphands.itch.io/ps1-fire,fx_torch_flame.png
fantasy-ui-borders,Fantasy UI Borders,Kenney,CC0 1.0,https://opengameart.org/content/fantasy-ui-borders,ui_hud_frame.png
flare-windows,Flare windows,Blarumyrran,CC0 / Public Domain,https://opengameart.org/content/flare-windows,ui_hud_frame.png
fantasy-torch-pack-1,Fantasy Torch Pack 1,rubberduck,CC0,https://opengameart.org/content/fantasy-torch-pack-1,torch_sconce.png
lo-fi-first-person-hand,Lo Fi First Person Hand,Ragnar Random,CC0,https://opengameart.org/node/134125,fp_hands_empty.png
fantasy-fps-hands,Fantasy FPS Hands,Ragnar Random,CC0,https://opengameart.org/content/fantasy-fps-hands,fp_torch.png; fp_hands_empty.png (reference/raw material)
1-bit-doomgeon-kit,1-Bit Doomgeon Kit,B77345-100 / BUTTERHANDS,CC0,https://opengameart.org/content/1-bit-doomgeon-kit,enemy_ashbound_warden.png (reference only; final should be original)
